case_id,split,target,rmse_ug_m3,normalized_rmse,r2,bias_ug_m3
training_prior__pilot_power_residual__bayesian_a_optimal_power_bounded_4x__k32,validation,SO2,15.967911433000785,0.23832703631344454,-0.1313920721358499,5.428490649322438
training_prior__pilot_power_residual__bayesian_a_optimal_power_bounded_4x__k32,validation,NO2,36.07848256711726,0.33718208006651645,-2.3497216763201934e-05,-0.05389879185100551
training_prior__pilot_power_residual__bayesian_a_optimal_power_bounded_4x__k32,validation,PM2.5,92.6168432185124,0.42281142761247525,-0.0017233978280510875,-3.4292630491880334
training_prior__pilot_power_residual__bayesian_a_optimal_power_bounded_4x__k32,validation,PM10,99.66308590460268,0.3775116890325859,-0.004392977052941616,6.498906309270909
training_prior__pilot_power_residual__bayesian_a_optimal_power_bounded_4x__k32,validation,macro,,0.3489723226943399,-0.04369712896742691,
training_prior__pilot_power_residual__full_offset_background_projected,validation,CO,1343.5209523229155,0.44784031744097186,-0.010437234635400694,-134.84569556756722
training_prior__pilot_power_residual__full_offset_background_projected,validation,O3,49.980750355002606,0.27016621813514924,-0.11426787494255253,16.003885465442192
training_prior__pilot_power_residual__full_offset_background_projected,validation,SO2,15.966623460741065,0.23830781284688157,-0.1312095632534669,5.4257115087801955
training_prior__pilot_power_residual__full_offset_background_projected,validation,NO2,36.08175139996552,0.3372126299062198,-0.00020471646498410045,-0.057040884476714945
training_prior__pilot_power_residual__full_offset_background_projected,validation,PM2.5,92.61699215672868,0.42281210754042,-0.001726619596594814,-3.434679038180129
training_prior__pilot_power_residual__full_offset_background_projected,validation,PM10,99.6667047624185,0.3775253968273428,-0.0044659192327431985,6.4930169748699385
training_prior__pilot_power_residual__full_offset_background_projected,validation,macro,,0.3489774137828309,-0.043718654687623704,
training_prior__coherent_csi_residual__uniform__k16,validation,CO,1343.3187761976474,0.4477729253992158,-0.010133151675121077,-134.8624469883867
training_prior__coherent_csi_residual__uniform__k16,validation,O3,49.98063224205482,0.2701655796867828,-0.11426260854271275,16.005128133272223
training_prior__coherent_csi_residual__uniform__k16,validation,SO2,15.962506160531472,0.23824636060494733,-0.13062623029435105,5.4276412461887755
training_prior__coherent_csi_residual__uniform__k16,validation,NO2,36.078315212752386,0.33718051600703164,-1.4219780620106093e-05,-0.05714201347699904
training_prior__coherent_csi_residual__uniform__k16,validation,PM2.5,92.59718886084411,0.4227217021723096,-0.001298288523366331,-3.434989891777329
training_prior__coherent_csi_residual__uniform__k16,validation,PM10,99.6487640186417,0.3774574394645519,-0.004104329195470324,6.493141708005334
training_prior__coherent_csi_residual__uniform__k16,validation,macro,,0.3489240872224732,-0.04340647133527361,
training_prior__coherent_csi_residual__physics_d_optimal__k16,validation,CO,1343.8334809717958,0.44794449365726524,-0.010907383333320642,-134.94386442613347
