model,split,model_role,uses_current_other_station_targets,uses_query_current_targets,uses_query_pollutant_lags,target,mae_ug_m3,rmse_ug_m3,normalized_rmse,r2,bias_ug_m3
station_target_delta_ridge,test,station and target specific spatial change regression,True,False,True,CO,191.688173167204,406.68850090740983,0.13556283363580326,0.907693785835181,4.210225023311649
station_target_delta_ridge,test,station and target specific spatial change regression,True,False,True,O3,7.149223290994351,11.619856671993325,0.06281003606482878,0.9574596233016367,-0.07569728637391523
station_target_delta_ridge,test,station and target specific spatial change regression,True,False,True,SO2,1.8673170507572778,4.820309400977321,0.07194491643249733,0.8661418935609186,-0.04683160689630744
station_target_delta_ridge,test,station and target specific spatial change regression,True,False,True,NO2,6.303809128684673,10.307495159226933,0.0963317304600648,0.918076864852773,-0.0861863067171503
station_target_delta_ridge,test,station and target specific spatial change regression,True,False,True,PM2.5,8.87923410727613,16.25014877160903,0.07418465542848246,0.9640725614731566,-0.4349866080858054
station_target_delta_ridge,test,station and target specific spatial change regression,True,False,True,PM10,14.58783281922035,24.42147308509057,0.09250557986776732,0.9337863662275913,0.1390364380648631
spatial_causal_histogram_boosting,validation,nonlinear spatial and causal regression,True,False,True,CO,179.75854164552737,353.53383839000094,0.11784461279666698,0.9300347434050618,7.592541789528121
spatial_causal_histogram_boosting,validation,nonlinear spatial and causal regression,True,False,True,O3,5.85542853312475,9.145349507813542,0.04943432166385698,0.9626934850038864,0.30737213672054214
spatial_causal_histogram_boosting,validation,nonlinear spatial and causal regression,True,False,True,SO2,2.177677145622247,4.073041782168814,0.06079166839057931,0.9263869806382354,0.17081619721238417
spatial_causal_histogram_boosting,validation,nonlinear spatial and causal regression,True,False,True,NO2,6.057750007330616,9.287485487977001,0.08679892979417758,0.9337310675263923,-0.11057203042152454
spatial_causal_histogram_boosting,validation,nonlinear spatial and causal regression,True,False,True,PM2.5,9.978202057309769,21.423060651902517,0.0977998660210116,0.9464041819486901,-0.43347534886355293
spatial_causal_histogram_boosting,validation,nonlinear spatial and causal regression,True,False,True,PM10,14.811286736059602,25.803204599723088,0.09773941136258746,0.9326740796613425,1.6286409426017123
spatial_causal_histogram_boosting,test,nonlinear spatial and causal regression,True,False,True,CO,194.83552599011375,416.4391420223852,0.13881304734079508,0.9032145130442624,-5.988865032359673
spatial_causal_histogram_boosting,test,nonlinear spatial and causal regression,True,False,True,O3,7.454862501859475,12.03652400895192,0.06506229194028065,0.954354080307249,0.6253595949730872
spatial_causal_histogram_boosting,test,nonlinear spatial and causal regression,True,False,True,SO2,1.9028960827414099,4.825985520037867,0.07202963462743085,0.8658264607406145,0.29811589818849843
spatial_causal_histogram_boosting,test,nonlinear spatial and causal regression,True,False,True,NO2,6.470423461112497,10.524652613750145,0.09836123938084249,0.9145886030291116,0.005859131186488382
spatial_causal_histogram_boosting,test,nonlinear spatial and causal regression,True,False,True,PM2.5,9.470613831982343,18.752494920778545,0.08560828541784345,0.9521557572419732,-0.31231822712027313
spatial_causal_histogram_boosting,test,nonlinear spatial and causal regression,True,False,True,PM10,15.209538882653202,26.605181596613512,0.10077720301747542,0.92141563211298,1.2775840489567187
spatial_causal_extra_trees,validation,randomized spatial and causal tree regression,True,False,True,CO,249.7688656249993,471.4905554831242,0.15716351849437474,0.8755581526304665,-64.78519531249992
spatial_causal_extra_trees,validation,randomized spatial and causal tree regression,True,False,True,O3,8.507826776093744,12.070517957765935,0.065246043014951,0.9350115948906381,0.6426154942187529
spatial_causal_extra_trees,validation,randomized spatial and causal tree regression,True,False,True,SO2,3.578484052291663,5.80158180211013,0.08659077316582284,0.8506484475298237,1.1370330906249997
spatial_causal_extra_trees,validation,randomized spatial and causal tree regression,True,False,True,NO2,8.436733190104174,12.80248870845852,0.11964942718185534,0.8740777482421468,0.09054027869791696
spatial_causal_extra_trees,validation,randomized spatial and causal tree regression,True,False,True,PM2.5,12.467537864583313,25.47125958817912,0.11628057333110799,0.9242349850467023,-3.0495331250000124
spatial_causal_extra_trees,validation,randomized spatial and causal tree regression,True,False,True,PM10,19.257337604166697,32.91475390784012,0.12467709813575804,0.8904490289192485,2.839353020833333
spatial_causal_extra_trees,test,randomized spatial and causal tree regression,True,False,True,CO,263.69558177083326,523.2360790227192,0.1744120263409064,0.8472073305911373,-79.64105989583324
