target,recall_pct,precision_pct
CH3OH,87.58,50.217889908256886
CH3OH,87.4,50.22988505747127
CH3OH,87.2,50.23041474654379
CH3OH,87.02,50.24249422632795
CH3OH,86.9,50.28935185185185
CH3OH,86.76,50.32482598607889
CH3OH,86.6,50.348837209302324
CH3OH,86.4,50.349650349650354
CH3OH,86.2,50.350467289719624
CH3OH,86.0,50.35128805620609
CH3OH,85.84,50.375586854460096
CH3OH,85.68,50.4
CH3OH,85.54,50.43632075471698
CH3OH,85.38,50.46099290780142
CH3OH,85.2,50.4739336492891
CH3OH,85.04,50.49881235154394
CH3OH,84.78,50.464285714285715
CH3OH,84.61999999999999,50.48926014319809
CH3OH,84.42,50.490430622009576
CH3OH,84.34,50.563549160671464
CH3OH,84.16,50.57692307692307
CH3OH,84.0,50.602409638554214
CH3OH,83.76,50.57971014492754
CH3OH,83.52000000000001,50.55690072639225
CH3OH,83.36,50.58252427184466
CH3OH,83.16,50.583941605839414
CH3OH,83.02000000000001,50.6219512195122
CH3OH,82.78,50.599022004889974
CH3OH,82.5,50.55147058823529
CH3OH,82.3,50.55282555282555
CH3OH,82.1,50.55418719211823
CH3OH,81.89999999999999,50.55555555555556
CH3OH,81.72,50.56930693069307
CH3OH,81.54,50.583126550868485
CH3OH,81.42,50.63432835820896
CH3OH,81.22,50.63591022443891
CH3OH,81.0,50.625
CH3OH,80.80000000000001,50.6265664160401
CH3OH,80.62,50.64070351758794
CH3OH,80.44,50.65491183879093
CH3OH,80.30000000000001,50.69444444444444
CH3OH,80.22,50.77215189873417
CH3OH,79.94,50.72335025380711
CH3OH,79.75999999999999,50.73791348600509
CH3OH,79.58,50.75255102040816
CH3OH,79.36,50.74168797953964
CH3OH,79.2,50.76923076923077
CH3OH,79.10000000000001,50.835475578406175
CH3OH,78.88,50.824742268041234
CH3OH,78.64,50.80103359173127
CH3OH,78.36,50.751295336787564
CH3OH,78.2,50.77922077922078
CH3OH,77.92,50.72916666666667
CH3OH,77.72,50.731070496083554
CH3OH,77.46,50.69371727748692
CH3OH,77.28,50.70866141732283
CH3OH,77.08,50.71052631578947
CH3OH,76.88000000000001,50.712401055408975
CH3OH,76.6,50.661375661375665
CH3OH,76.44,50.689655172413794
CH3OH,76.24,50.691489361702125
CH3OH,76.06,50.70666666666666
CH3OH,75.88000000000001,50.72192513368984
CH3OH,75.74,50.76407506702413
CH3OH,75.46000000000001,50.71236559139785
CH3OH,75.24,50.700808625336926
CH3OH,74.98,50.66216216216216
CH3OH,74.82,50.69105691056911
CH3OH,74.53999999999999,50.638586956521735
CH3OH,74.38,50.66757493188011
CH3OH,74.22,50.696721311475414
CH3OH,74.08,50.73972602739726
CH3OH,73.92,50.76923076923077
CH3OH,73.64,50.71625344352617
CH3OH,73.42,50.70441988950276
CH3OH,73.14,50.65096952908588
CH3OH,72.96000000000001,50.66666666666667
CH3OH,72.8,50.69637883008357
CH3OH,72.61999999999999,50.7122905027933
CH3OH,72.44,50.72829131652661
CH3OH,72.24000000000001,50.73033707865169
CH3OH,72.1,50.774647887323944
CH3OH,71.96000000000001,50.81920903954802
CH3OH,71.8,50.849858356940516
CH3OH,71.64,50.88068181818181
CH3OH,71.46000000000001,50.8974358974359
CH3OH,71.24000000000001,50.885714285714286
CH3OH,71.02000000000001,50.87392550143266
CH3OH,70.88,50.919540229885065
CH3OH,70.6,50.86455331412104
CH3OH,70.44,50.895953757225435
CH3OH,70.24000000000001,50.89855072463768
CH3OH,70.02000000000001,50.88662790697674
CH3OH,69.78,50.8600583090379
CH3OH,69.6,50.877192982456144
CH3OH,69.39999999999999,50.879765395894424
CH3OH,69.19999999999999,50.882352941176464
CH3OH,69.02000000000001,50.899705014749266
