elevation_deg,geometry,target,apparent_elevation_deg,atmospheric_path_m,total_path_m,peak_db_per_ug_m3,rms_db_per_ug_m3
15,plane_parallel,O3,15.0,77274.06610312547,1518016.7180143422,7.526800786990515e-05,1.9264203402824075e-05
15,plane_parallel,SO2,15.0,77274.06610312547,1518016.7180143422,0.0007029402471224106,0.000178895511386782
15,plane_parallel,NO2,15.0,77274.06610312547,1518016.7180143422,2.6742918281066034e-05,6.336752600238865e-06
15,plane_parallel,CH4,15.0,77274.06610312547,1518016.7180143422,2.357764066517487e-10,4.196332799459425e-11
15,spherical,H2CO,14.999999999999996,75659.57910366397,1518016.7180143395,0.0025775824248306252,0.00046316844712909327
15,spherical,CH3OH,14.999999999999996,75659.57910366397,1518016.7180143395,0.0009399073282502198,0.0001943865250371213
15,spherical,CH3CN,14.999999999999996,75659.57910366397,1518016.7180143395,0.009194989178720341,0.0027232689848033786
15,spherical,CO,14.999999999999996,75659.57910366397,1518016.7180143395,2.459057972442855e-05,2.4859298427186984e-06
15,spherical,O3,14.999999999999996,75659.57910366397,1518016.7180143395,7.498606396203364e-05,1.919731867624194e-05
15,spherical,SO2,14.999999999999996,75659.57910366397,1518016.7180143395,0.0007002023828584532,0.0001782725601280131
15,spherical,NO2,14.999999999999996,75659.57910366397,1518016.7180143395,2.6641049545727487e-05,6.314073544522636e-06
15,spherical,CH4,14.999999999999996,75659.57910366397,1518016.7180143395,2.350488820241992e-10,4.1845521427336053e-11
15,refracted,H2CO,15.06370326788953,75554.4827201126,1518016.7272152347,0.002569140957702262,0.000461622541023082
15,refracted,CH3OH,15.06370326788953,75554.4827201126,1518016.7272152347,0.0009368283109263898,0.00019373604850775143
15,refracted,CH3CN,15.06370326788953,75554.4827201126,1518016.7272152347,0.009164729394325255,0.0027141359761446823
15,refracted,CO,15.06370326788953,75554.4827201126,1518016.7272152347,2.451010103298781e-05,2.4776773382504526e-06
15,refracted,O3,15.06370326788953,75554.4827201126,1518016.7272152347,7.473688270609986e-05,1.9132637478826483e-05
15,refracted,SO2,15.06370326788953,75554.4827201126,1518016.7272152347,0.0006978928674454025,0.0001776722020860967
15,refracted,NO2,15.06370326788953,75554.4827201126,1518016.7272152347,2.6552808836778878e-05,6.292916141864322e-06
