pilots,sigma,quantile,scenario,gas,bias_ratio,sd_ratio,rmse_ratio
300,0.001,0.95,height_1200m,NO2,-0.7603613608010751,121.37141058834513,121.37379230131872
300,0.001,0.95,combined,CO,-0.6123617201200706,0.9944464557778405,1.1678658440409668
300,0.001,0.95,combined,O3,0.43025959819705495,12.500768535695805,12.508170821702224
300,0.001,0.95,combined,SO2,-4.238648992199659,5.821543513723204,7.201146725435324
300,0.001,0.95,combined,NO2,-9.08914178935882,121.37141058834513,121.71126409117491
3000,0.0,0.5,matched,CO,6.809957089417756e-15,0.31439491003030107,0.31439491003030107
3000,0.0,0.5,matched,O3,-2.6744246849896737e-14,3.951780223268416,3.951780223268416
3000,0.0,0.5,matched,SO2,1.425244686533029e-14,1.8403913514346566,1.8403913514346566
3000,0.0,0.5,matched,NO2,-2.7747911638751466e-13,38.36765208276119,38.36765208276119
3000,0.0,0.5,temperature_plus_5K,CO,-0.4076092918791596,0.31439491003030107,0.5147713028901194
3000,0.0,0.5,temperature_plus_5K,O3,1.7242950618633264,3.951780223268416,4.311584441174917
3000,0.0,0.5,temperature_plus_5K,SO2,-2.9344256867541105,1.8403913514346566,3.463797690038755
3000,0.0,0.5,temperature_plus_5K,NO2,-5.4749457951602345,38.36765208276119,38.75631248975774
3000,0.0,0.5,pressure_minus_2000Pa,CO,-0.024914619663342075,0.31439491003030107,0.31538056015856475
3000,0.0,0.5,pressure_minus_2000Pa,O3,-0.8355356027423227,3.951780223268416,4.039144300030063
3000,0.0,0.5,pressure_minus_2000Pa,SO2,-1.005375729754963,1.8403913514346566,2.0970981580307124
3000,0.0,0.5,pressure_minus_2000Pa,NO2,-2.7176268879989767,38.36765208276119,38.46377805476451
3000,0.0,0.5,height_1200m,CO,-0.051863537331046275,0.31439491003030107,0.3186439799485469
3000,0.0,0.5,height_1200m,O3,-0.11614483903514128,3.951780223268416,3.953486632916554
3000,0.0,0.5,height_1200m,SO2,-0.04840453165435656,1.8403913514346566,1.8410277904258152
3000,0.0,0.5,height_1200m,NO2,-0.3311146886312474,38.36765208276119,38.36908082402856
3000,0.0,0.5,combined,CO,-0.4732310461356086,0.31439491003030107,0.568147676647158
3000,0.0,0.5,combined,O3,0.7776508136961646,3.951780223268416,4.027568462615835
