model,pilots,residual_std_db,rho,gas,predicted_sd_ratio,empirical_rmse_ratio,deterministic_bias_allowance_db,independent_fit_actual_sd_ratio,pilot_time_lower_bound_s,pilot_energy_lower_bound_j
power,3000,0.001,0.0,NO2,231.6368598374645,233.88133149226428,,231.6368598374645,0.003,0.0005985786944906639
power,3000,0.001,0.9,CO,1.6897465634568989,1.6707219353991773,,1.6897467626042981,0.003,0.0005985786944906639
power,3000,0.001,0.9,O3,23.658986095324448,23.594481782571528,,23.6589883968408,0.003,0.0005985786944906639
power,3000,0.001,0.9,SO2,8.96640918150632,8.834285705808384,,8.966409960834644,0.003,0.0005985786944906639
power,3000,0.001,0.9,NO2,231.6583867403191,233.90400317972032,,231.6584092475469,0.003,0.0005985786944906639
power,3000,0.01,0.0,CO,1.7021949313628137,1.683038321526565,,1.7021949313628137,0.003,0.0005985786944906639
power,3000,0.01,0.0,O3,23.83184329806206,23.76686043477356,,23.83184329806206,0.003,0.0005985786944906639
power,3000,0.01,0.0,SO2,9.030092984279435,8.897072183909497,,9.030092984279435,0.003,0.0005985786944906639
power,3000,0.01,0.0,NO2,233.36201594896227,235.6262481538452,,233.36201594896227,0.003,0.0005985786944906639
power,3000,0.01,0.9,CO,1.724713034533436,1.704868128394676,,1.7264695224491975,0.003,0.0005985786944906639
power,3000,0.01,0.9,O3,24.28266603972436,24.211266830150716,,24.303528744246446,0.003,0.0005985786944906639
power,3000,0.01,0.9,SO2,9.155551875013527,9.022009550529981,,9.162577387481672,0.003,0.0005985786944906639
power,3000,0.01,0.9,NO2,235.29104650647807,237.65595879103017,,235.49173158852116,0.003,0.0005985786944906639
power,30000,0.0,0.0,CO,0.5342262408455917,0.5282129000068713,0.005861869610970885,0.5342262408455917,0.03,0.005985786944906639
power,30000,0.0,0.0,O3,7.4795415986560085,7.459166501387856,,7.4795415986560085,0.03,0.005985786944906639
power,30000,0.0,0.0,SO2,2.8347941009351834,2.7930177111822827,,2.8347941009351834,0.03,0.005985786944906639
power,30000,0.0,0.0,NO2,73.2444750188121,73.95417590603029,,73.2444750188121,0.03,0.005985786944906639
power,30000,0.0,0.9,CO,0.5342262408455917,0.5282129000068713,0.005861869610970885,0.5342262408455917,0.03,0.005985786944906639
power,30000,0.0,0.9,O3,7.4795415986560085,7.459166501387856,,7.4795415986560085,0.03,0.005985786944906639
power,30000,0.0,0.9,SO2,2.8347941009351834,2.7930177111822827,,2.8347941009351834,0.03,0.005985786944906639
power,30000,0.0,0.9,NO2,73.2444750188121,73.95417590603029,,73.2444750188121,0.03,0.005985786944906639
power,30000,0.001,0.0,CO,0.5346331363039736,0.5286153292324614,0.005860046864848133,0.5346331363039736,0.03,0.005985786944906639
power,30000,0.001,0.0,O3,7.485236012515798,7.46484342214567,,7.485236012515798,0.03,0.005985786944906639
power,30000,0.001,0.0,SO2,2.8368782327741364,2.7950728999900907,,2.8368782327741364,0.03,0.005985786944906639
power,30000,0.001,0.0,NO2,73.2997727829471,74.01010714383558,,73.2997727829471,0.03,0.005985786944906639
power,30000,0.001,0.9,CO,0.5354048535391489,0.529363918032976,0.005866893228003691,0.5354110754624012,0.03,0.005985786944906639
